sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2020-09-25;217,80;218,60;210,20;221,80;208,00;218,20;215,718;453202;97759342,19;4072;
2020-09-24;209,20;210,80;217,80;219,00;206,80;209,40;211,231;415275;87718846;3859;
2020-09-23;222,40;222,80;226,00;226,80;220,20;222,40;223,551;136801;30581937,8;1485;
2020-09-22;222,00;223,00;218,00;230,60;218,00;223,60;225,985;329239;74405798,9;2997;
2020-09-21;215,20;216,60;233,00;234,00;214,60;216,00;220,275;571343;125856751,8;6144;
2020-09-18;234,80;235,00;236,20;237,00;233,20;235,00;235,105;166662;39183034,3;1391;
2020-09-17;234,60;234,80;229,80;235,80;228,60;235,20;233,111;170487;39742672,2;1548;
2020-09-16;232,40;233,00;231,80;237,60;229,40;231,60;232,743;224874;52335841,6;2188;
2020-09-15;229,80;231,60;233,20;234,60;227,00;231,80;230,637;202035;46605768;1888;
2020-09-14;230,80;231,60;227,80;236,20;227,00;230,00;231,772;233573;54135112,6;2145;
2020-09-11;228,00;228,40;234,60;234,60;227,00;227,20;229,786;172022;39528416;1727;
2020-09-10;233,20;234,00;237,00;237,80;230,60;234,80;234,082;148447;34748805;1353;
2020-09-09;233,60;233,80;227,80;235,40;225,60;235,40;230,48;313241;72195694,6;2876;
2020-09-08;232,00;232,60;245,00;246,60;226,20;231,80;236,174;559011;132027159,4;4668;
2020-09-07;236,60;237,20;228,20;238,40;228,20;235,00;235,257;246162;57911263,3;2193;
2020-09-04;227,80;228,20;221,20;240,00;220,20;226,00;231,126;479344;110788053,7;4124;
2020-09-03;221,00;221,60;246,00;247,00;221,00;221,00;234,163;425997;99772547,7;3984;
2020-09-02;236,20;237,80;223,00;244,60;215,00;237,00;233,331;873621;203904812;7226;
2020-09-01;224,40;224,80;230,00;234,00;221,00;226,40;228,161;536782;122474413,6;5191;
2020-08-31;236,40;236,60;241,20;241,60;228,40;237,00;234,062;420991;98538167,8;4292;
2020-08-28;241,60;241,80;244,00;245,00;235,00;243,00;239,268;313556;75024007,4;3609;
2020-08-27;245,40;246,00;250,40;252,00;243,80;245,20;246,404;285115;70253443,9;2674;
2020-08-26;249,40;249,80;254,20;256,00;245,60;252,20;249,99;408767;102190923,9;4129;
2020-08-25;254,00;254,20;263,60;265,60;250,00;254,00;254,343;523934;133254535,8;5649;
2020-08-24;263,00;263,80;270,40;273,00;261,80;262,00;267,054;267553;71451124,4;2882;
2020-08-21;266,40;268,60;264,20;270,40;261,80;270,40;266,082;253351;67412716,8;2560;
2020-08-20;264,00;264,20;265,20;269,80;257,00;261,60;263,612;351196;92579423;3426;
2020-08-19;275,00;276,00;279,00;283,40;271,60;275,20;278,647;267247;74466555,5;2942;
2020-08-18;273,40;274,40;269,40;278,00;265,00;275,00;272,561;263710;71878550,9;2349;
2020-08-17;264,20;264,60;269,40;272,60;262,40;263,40;265,492;197393;52406239,1;2296;
2020-08-14;270,60;271,00;273,20;275,00;267,40;269,40;271,019;225701;61169190,8;2233;
2020-08-13;269,60;270,20;263,00;272,00;258,00;272,00;264,379;235402;62232657,2;2402;
2020-08-12;265,00;265,80;279,20;279,20;261,60;264,20;267,645;570003;152564093,6;5074;
2020-08-11;280,80;281,00;277,40;285,40;277,40;281,80;281,558;159039;44778754,4;1720;
2020-08-10;278,00;278,40;286,00;286,00;277,20;277,20;280,116;179030;50148847,3;2426;
2020-08-07;284,60;284,80;269,80;286,00;267,00;286,00;279,407;293739;82069931,7;2975;
2020-08-06;268,40;269,40;267,00;272,00;263,20;272,00;268,638;185255;49766708,2;2083;
2020-08-05;268,20;268,40;282,80;282,80;266,00;268,60;269,685;180254;48611723;1886;
2020-08-04;269,80;270,40;280,00;285,00;261,00;271,40;271,076;405053;109800228,4;3752;
2020-08-03;272,00;272,60;260,20;274,00;255,80;274,00;265,336;268847;71334891,2;2611;
2020-07-31;254,20;255,00;251,00;260,00;251,00;255,00;254,607;240621;61263871,4;2751;
2020-07-30;249,60;250,00;267,00;267,60;248,00;248,60;254,404;402587;102419870,8;4541;
2020-07-29;266,40;266,80;261,20;269,20;258,40;267,60;265,866;231208;61470360,2;2353;
2020-07-28;264,20;266,60;288,00;289,00;258,80;264,00;272,205;501916;136624249;5772;
2020-07-27;274,00;275,00;251,00;275,20;251,00;273,20;266,176;588141;156549090,8;6349;
2020-07-24;249,80;250,00;249,20;252,60;235,20;249,40;244,853;1201013;294071590;12801;
2020-07-23;267,00;267,40;294,40;298,40;264,40;267,20;274,176;876929;240431125,2;10423;
2020-07-22;295,60;296,60;305,20;309,60;293,60;293,60;299,235;280538;83943102,4;3098;
2020-07-21;305,00;306,40;316,20;319,00;300,40;304,00;311,581;322168;100432543;3763;
2020-07-20;307,00;307,40;299,20;309,40;299,20;308,00;305,209;309258;94397142,2;3602;
2020-07-17;298,40;300,20;303,00;308,00;298,00;299,20;302,769;186272;56397431,8;2202;
2020-07-16;302,60;304,40;312,00;312,00;293,60;302,60;299,845;435071;130453680,6;5004;
2020-07-15;305,80;306,80;315,00;317,40;303,20;306,20;308,827;488578;150885862,6;5375;
2020-07-14;304,00;305,00;324,40;324,40;303,20;304,00;314,724;756048;237948084,7;7672;
2020-07-13;336,60;337,80;345,00;350,00;334,20;337,00;340,969;347127;118359540,2;3673;
2020-07-10;335,20;336,40;336,00;340,00;331,00;337,00;335,893;249957;83958077,3;2723;
2020-07-09;337,00;337,80;351,00;356,00;334,80;334,80;346,405;486986;168695582,8;4830;
2020-07-08;341,20;342,00;348,00;357,20;331,60;341,00;341,024;637038;217245285,6;6434;
2020-07-07;345,00;345,40;371,00;381,00;327,40;346,00;350,145;4714172;1497428456,6;17455;
2020-07-06;369,60;369,80;350,40;370,60;347,20;370,60;360,321;651133;234616967,2;6973;
2020-07-03;340,40;341,40;326,40;351,60;319,00;337,60;340,128;816509;277717643,8;8176;
2020-07-02;324,60;324,80;308,00;327,00;307,80;326,40;319,695;569935;182205215,8;4846;
2020-07-01;306,40;307,00;303,80;308,80;300,00;307,60;305,353;150179;45857643,6;1764;
2020-06-30;306,80;307,20;306,20;312,40;305,20;305,60;308,523;243894;75246925,2;2465;
2020-06-29;302,80;303,40;291,20;303,60;287,00;303,60;296,985;206378;61291243,8;2186;
2020-06-26;292,20;294,20;301,00;304,20;291,20;292,80;297,22;181856;54051228,4;2059;
2020-06-25;299,20;300,00;298,20;301,60;286,20;300,00;297,072;380132;112926382,8;2200;
2020-06-24;298,40;298,80;311,00;313,00;298,20;298,20;305,586;322974;98696177,6;2687;
2020-06-23;307,80;308,80;294,00;310,00;287,20;309,40;298,161;628279;187328529,4;5258;
2020-06-22;283,00;283,60;299,00;299,60;278,20;282,80;287,553;452751;130190034,4;3623;
2020-06-18;296,40;297,60;309,00;311,80;290,00;296,60;300,26;322433;96813608,2;2941;
2020-06-17;309,40;310,20;309,80;315,20;309,00;309,00;312,459;320347;100097272,3;2983;
2020-06-16;307,20;308,00;309,40;313,80;302,80;309,00;308,652;527514;162835912,9;5843;
2020-06-15;300,80;301,60;295,00;304,00;285,00;300,60;295,491;472845;139721186;4452;
2020-06-12;294,40;295,00;284,80;302,00;275,00;298,20;294,56;557422;164254889,2;5008;
2020-06-11;290,00;291,60;295,00;305,00;287,20;289,40;295,822;544766;161157723,5;4340;
2020-06-10;295,00;296,00;295,80;296,80;285,20;294,20;292,564;864644;252984992,6;5525;
2020-06-09;275,60;276,40;282,00;284,40;263,20;275,00;273,055;459593;125505915,72;4097;
2020-06-08;273,40;274,00;296,60;298,00;261,00;271,00;276,658;774927;214389716,8;7002;
2020-06-05;294,00;294,40;284,80;298,00;284,80;296,00;293,635;638782;187576593;6619;
2020-06-04;281,60;281,80;275,00;284,00;273,00;282,00;279,047;330470;92230182,4;2696;
2020-06-03;276,00;276,60;274,80;280,00;271,40;278,40;275,956;278362;76815846;2466;
2020-06-02;272,40;273,60;270,00;278,00;265,40;273,00;273,772;307221;84116714,6;2709;
2020-06-01;267,20;267,60;269,40;269,60;260,00;268,40;265,182;154115;40868501,2;1512;
2020-05-29;264,20;265,80;259,00;269,40;256,00;269,40;263,238;373163;98230675,2;2610;
2020-05-28;270,00;270,40;256,80;272,00;250,60;272,00;262,28;406643;106661337,7;3160;
2020-05-27;247,20;247,40;265,20;271,80;246,00;247,00;260,961;430203;112265979,4;3935;
2020-05-26;263,60;264,20;247,00;264,60;247,00;263,20;257,529;605510;155956036;4537;
2020-05-25;243,60;244,40;237,60;247,40;237,60;244,80;244,034;524745;128055752,4;1681;
2020-05-22;237,20;238,00;239,20;239,60;231,60;236,00;234,656;122678;28786940,8;1277;
2020-05-20;238,80;239,80;241,80;241,80;237,00;241,00;239,496;59031;14137699,6;607;
2020-05-19;240,80;242,00;248,80;249,60;236,80;242,60;242,139;163517;39593798;1385;
2020-05-18;242,20;242,80;235,00;244,80;234,00;244,80;240,428;274195;65921426;2083;
2020-05-15;229,40;230,00;226,00;237,80;226,00;230,00;231,11;192291;44444887;1656;
2020-05-14;226,40;227,60;240,00;240,00;217,00;226,00;228,044;463868;105782226,6;4061;
2020-05-13;245,00;245,60;245,20;246,80;232,80;244,00;241,664;260703;63002387,8;2246;
2020-05-12;247,80;248,40;246,80;253,40;244,00;248,00;248,202;213325;52947631,2;1760;
2020-05-11;244,00;244,80;255,00;255,00;243,00;246,80;248,159;239020;59314984,6;2230;
2020-05-08;253,20;253,80;261,00;263,00;248,20;256,00;256,074;408001;104478267,4;2894;
2020-05-07;253,40;253,80;252,00;255,80;247,20;255,80;251,758;209829;52826075;1393;
2020-05-06;252,60;254,00;256,20;258,20;252,00;252,00;255,213;178115;45457335,6;1445;
